t	x_tail	x_peak	y_peak	x_mean	x_nose	x_nose_ISC	volume	UmeanV	delta_min	delta_mean	delta_max	delta_min_smooth	delta_max_smooth
6.38689 9.100034713745117 8.777631791022577 0.45184894122899943 11.947942733764648 15.228809356689453 ? 1.6041812162069133 1.495232381494672 0.048105918330183906 0.2238581639899206 0.49946518605606416 0 0
6.52373 9.243400573730469 8.949309533614494 0.4486876036667437 12.152810096740723 15.448104858398438 ? 1.6042831447409378 1.4995864345257806 0.05126754280770507 0.2254727380897531 0.4997579447948498 0 0
6.66408 9.401044845581055 9.134655675192763 0.4445469320915148 12.363568305969238 15.67679214477539 ? 1.6044617206041052 1.5040031945529495 0.05540863151164138 0.22681610125157187 0.499728163553095 0 0
6.6928 12.17329216003418 11.787930110702874 0.3124292525072358 12.406625747680664 15.721598625183105 ? 1.6044637630286842 1.5047385340902732 0.14719393780519796 0.2196917609471617 0.49629524437068756 0 0
6.72528 9.475831031799316 9.218850145245543 0.4478884222400123 12.455561637878418 15.775386810302734 ? 1.6043882531873583 1.505958126793807 0.05206685770743841 0.22729141847853762 0.4992226631481113 0 0
6.75937 9.517592430114746 9.254929450979613 0.4491431212539195 12.50688648223877 15.829862594604492 ? 1.6045308168364212 1.5070617505364667 0.05081202711108879 0.22791758606032197 0.4992835253939917 0 0
6.79305 10.29060173034668 9.299030995819614 0.447528484870926 12.557616233825684 15.884225845336914 ? 1.6045609860476562 1.507976131389825 0.05242677617365721 0.22824793820055206 0.49961237898011224 0 0
6.82811 9.600441932678223 9.346960526416868 0.4466988792442718 12.610479354858398 15.940184593200684 ? 1.6045023801867255 1.509049045288935 0.053123839476233115 0.22852813100720082 0.4962827178940588 0 0
6.86327 9.642193794250488 9.399696937715165 0.44457892925655496 12.663662910461426 15.996318817138672 ? 1.6045233680868525 1.5100975780906876 0.05458175677603638 0.2286432101824683 0.49628177572968674 0 0
6.89764 9.683734893798828 9.444198413543289 0.44116798189223977 12.715554237365723 16.05319595336914 ? 1.6045334984997195 1.5110105166145682 0.057771394543006394 0.22900298856193002 0.4996536872085704 0 0
6.93211 9.727141380310059 9.443598001310141 0.4391208521927371 12.767596244812012 16.110469818115234 ? 1.6045523174323815 1.5119698865777558 0.05986830859615583 0.2309981207192483 0.4993196682422182 0 0
7.00014 9.812889099121094 9.559592655890345 0.43315410187856346 12.870506286621094 16.218048095703125 ? 1.6046566629178889 1.5136800317107018 0.06224452400436675 0.2306624122100039 0.49629301265135684 0 0
7.03331 9.85597038269043 9.599734967583977 0.43677361207699084 12.920726776123047 16.272703170776367 ? 1.6046673303970582 1.514431531428071 0.06318272862991542 0.2310970074895724 0.4994933684524298 0 0
7.06585 9.898564338684082 9.647754446579606 0.4382991888259745 12.97004508972168 16.32704734802246 ? 1.604706471174681 1.5151031333722043 0.061657028746678666 0.23121798240230618 0.49943751978791706 0 0
7.09792 9.937962532043457 9.687710915866978 0.440022948677861 13.018672943115234 16.378751754760742 ? 1.6046676573165637 1.5156925986650938 0.05993308750193227 0.2316057652177464 0.4995273257492352 0 0
7.12957 10.919853210449219 9.72945635027141 0.4410395150755397 13.06670093536377 16.430187225341797 ? 1.604708308762564 1.5161805982665626 0.05891639836584556 0.23189922013726033 0.49973789795521223 0 0
7.16088 10.978958129882812 9.768438653691266 0.4431442619144686 13.114173889160156 16.47856330871582 ? 1.6045976135977358 1.5166101534803524 0.05681183510512455 0.23228591434111462 0.4957977361937286 0 0
7.19203 10.055431365966797 9.81052752711413 0.44670709614837123 13.161337852478027 16.529245376586914 ? 1.6046959497084903 1.5169305853033181 0.05324826146359468 0.2325340062197112 0.49962749941703266 0 0
7.22336 11.096842765808105 9.841630612341019 0.45151826794471617 13.208935737609863 16.580163955688477 ? 1.6046070610856524 1.5171893815589637 0.04843660313366427 0.23320699160787933 0.49955345296535436 0 0
7.25539 10.131919860839844 9.878687013160087 0.4573710105293872 13.257575988769531 16.631576538085938 ? 1.604612100327718 1.5173800055346693 0.042583614843144435 0.23370488003769324 0.4962845148993037 0 0
7.28638 10.17196273803711 9.909280176293386 0.46112391900703553 13.304584503173828 16.681072235107422 ? 1.604589918272389 1.5175492951314968 0.038830009076747385 0.23438720117426742 0.4995030993317407 0 0
7.30528 11.24940299987793 9.938637774090061 0.46214711905965566 13.333284378051758 16.711959838867188 ? 1.6044971320237422 1.5176831168539289 0.0378066744655689 0.23442541742128226 0.49982521574572786 0 0
7.31723 10.210497856140137 9.946371809841812 0.46528850383082804 13.351410865783691 16.73233985900879 ? 1.6045605917103205 1.5177414512694463 0.03466533185930293 0.23482752194489376 0.49626226624043196 0 0
7.3321 11.296667098999023 9.95912300962152 0.4654086563837967 13.3740873336792 16.7552433013916 ? 1.6044818509700753 1.517811453159386 0.03454531732809896 0.2352377318188672 0.4947621720838948 0 0
7.34769 10.249573707580566 9.982314711630922 0.46631259476281234 13.397721290588379 16.78238296508789 ? 1.604593813674689 1.517845214888078 0.03364077471808985 0.23528214107163314 0.4998993351777056 0 0
7.36044 10.265904426574707 9.991904001114833 0.46752242258384946 13.417098999023438 16.802080154418945 ? 1.604468221666834 1.5179178537020015 0.03243087554063395 0.23568409135547824 0.4994029288315299 0 0
7.37366 11.374342918395996 10.014330075948116 0.464843004742703 13.437195777893066 16.8230037689209 ? 1.604427884837624 1.5178549042594371 0.03511053017775945 0.23563439686599258 0.4947621720838948 0 0
7.38654 11.399401664733887 10.024979496374167 0.46645317240933093 13.456668853759766 16.84337043762207 ? 1.6044509304634158 1.5178298620692352 0.03350026544889362 0.23598424661409967 0.49907512106214297 0 0
7.40156 10.321024894714355 10.037060907285491 0.4648259957819635 13.47944164276123 16.86861228942871 ? 1.6044873203704977 1.5177586910737992 0.03512756827919772 0.23641426961579065 0.4994405207286628 0 0
7.40156 10.321024894714355 10.037060907285491 0.4648259957819635 13.47944164276123 16.86861228942871 ? 1.6044873203704977 1.5177586910737992 0.03512756827919772 0.23641426961579065 0.4994405207286628 0 0
7.42752 11.478775024414062 10.066817011329123 0.46032458322208436 13.518774032592773 16.91001319885254 ? 1.6045458321878727 1.5176785938892525 0.03962989899882924 0.23682098430069448 0.4947621720838948 0 0
7.45139 11.52125072479248 10.096693163407375 0.45458014121877294 13.555041313171387 16.95050621032715 ? 1.6046088139557018 1.517496409279339 0.04537491556125284 0.2371012868349482 0.4947621720838948 0 0
7.46542 11.548842430114746 10.11618209874729 0.45024005256434424 13.576409339904785 16.9721736907959 ? 1.6045562461459417 1.5173110953034559 0.04971500868963746 0.2372095831917998 0.4990575301268134 0 0
7.48203 13.270856857299805 12.984735779028343 0.3203456449903918 13.601438522338867 16.997516632080078 ? 1.6046834150216165 1.5171654960323175 0.1390073733176312 0.2150690207622269 0.4995701383238851 0 0
7.51797 11.649083137512207 10.204078933551008 0.43505242030803587 13.65602970123291 17.055944442749023 ? 1.604649769577874 1.5169116824989795 0.06490458963471352 0.23702368201283247 0.4947621720838948 0 0
7.54163 10.505590438842773 10.241276558762443 0.4296797528038489 13.691932678222656 17.09933090209961 ? 1.6047083749573656 1.5166978842496124 0.06666891749539111 0.23703201187458978 0.49619416076479367 0 0
7.56589 11.738774299621582 10.269737367833159 0.42623024367938583 13.728671073913574 17.13378143310547 ? 1.604783608878527 1.5164659171013202 0.06631401277427207 0.23738006443440968 0.4947621720838948 0 0
7.58996 11.780722618103027 10.311749468136815 0.42137928734935975 13.765079498291016 17.17188262939453 ? 1.6048561879495282 1.516238438242739 0.06685200621870435 0.2372343849883609 0.4947621720838948 0 0
7.61357 11.826717376708984 10.335657544941506 0.41670847377603865 13.800911903381348 17.210634231567383 ? 1.6048193883377437 1.51604529586001 0.06905393116352554 0.2377182203560974 0.4947621720838948 0 0
7.63866 11.869083404541016 10.344947095226795 0.41184165221450625 13.838884353637695 17.25190544128418 ? 1.6048894312713429 1.5158414202681485 0.07244663877552132 0.23880032736080076 0.4947621720838948 0 0
7.68306 11.951981544494629 10.41700269365468 0.4134772488501354 13.906274795532227 17.32330322265625 ? 1.604906769233299 1.5154517848783777 0.07992619953111352 0.23872540801550912 0.4947621720838948 0 0
7.70983 12.003753662109375 10.459180500378833 0.4151353448946193 13.946673393249512 17.36751937866211 ? 1.6049825005191263 1.5151960793317316 0.08412543505672698 0.2387174521739151 0.4947621720838948 0 0
7.73433 12.048515319824219 10.491908688320613 0.4174583986520067 13.983732223510742 17.405580520629883 ? 1.6050474029971888 1.5149353428143382 0.08250037104485913 0.23892143540025357 0.4947621720838948 0 0
7.78625 10.845746040344238 10.570444579171662 0.42217487129766235 14.062410354614258 17.489944458007812 ? 1.605065944197588 1.514488965411663 0.07778299641690156 0.23905037800406054 0.4962401278211201 0 0
7.81367 12.194260597229004 10.605932328424188 0.42476539631738736 14.103782653808594 17.535934448242188 ? 1.605104854198125 1.5143251406577685 0.07519264253354274 0.23931409604845083 0.4947621720838948 0 0
7.83631 13.755508422851562 13.535198489026149 0.34006952066481283 14.138019561767578 17.572742462158203 ? 1.6050633207806402 1.5142002472963605 0.13728427071925164 0.2159986856152586 0.4962625171908292 0 0
7.86007 12.277033805847168 10.673069201108039 0.42168641313919164 14.17400074005127 17.60936737060547 ? 1.605156362080416 1.514160919491666 0.07827144625841431 0.23953644268708385 0.49963532959662327 0 0
7.88185 13.818873405456543 13.45237151354906 0.32597038072406986 14.206952095031738 17.645153045654297 ? 1.6050922249224393 1.5141281753047602 0.12337201362586758 0.24669878077744112 0.4995251535661157 0 0
7.93105 11.050969123840332 10.775695251314529 0.4075722427270703 14.28142261505127 17.724016189575195 ? 1.605074472619722 1.5142012931566993 0.08727366175004286 0.23990532105617957 0.49628795645913326 0 0
7.95585 13.978455543518066 13.694361289270711 0.3330051839138075 14.319023132324219 17.764177322387695 ? 1.6051681726095277 1.5143034033000935 0.13497563413914826 0.2226052051903285 0.49921021355701445 0 0
7.98155 12.50166130065918 10.850057251227595 0.39455884494502586 14.357726097106934 17.806468963623047 ? 1.6052176879673987 1.514538617347834 0.08641171229170025 0.24009089793568744 0.49915661075151724 0 0
8.00463 14.068840980529785 13.780272721981977 0.3237821218792808 14.392662048339844 17.84356117248535 ? 1.605273754001836 1.5147932178962153 0.13436448552238422 0.22055423186165324 0.49985397810529286 0 0
8.03126 14.1117525100708 13.796248634548972 0.3242793229372334 14.4330472946167 17.887187957763672 ? 1.6051934245465658 1.5151797801474693 0.13514643906406137 0.22635359646966002 0.49967516374428833 0 0
8.05659 14.152787208557129 13.84061649964206 0.32425188717681913 14.471317291259766 17.92622184753418 ? 1.60526798292821 1.5156082389551657 0.13688466281024386 0.22536457710685265 0.499927532356087 0 0
8.1079 12.731396675109863 14.040563287800795 0.32459982414693034 14.54917049407959 18.012104034423828 ? 1.605298117166867 1.5166927060628417 0.13668846422329783 0.1948993522420731 0.4947621720838948 0 0
8.13544 11.336679458618164 14.194934255827164 0.36358207003130794 14.590944290161133 18.055360794067383 ? 1.6053243747905817 1.5174937167455527 0.13640693809022109 0.16993965046668896 0.4955750453850795 0 0
