Points_0,Points_1,Points_2,u.x_0,u.x_1,u.x_2,u.x_Magnitude
11.5463,-0.222492,0,1.45337,-0.0357702,-0.00731697,1.45383
11.5573,-0.369489,0,0.838355,-0.00566064,0.00134378,0.838375
11.5683,-0.369297,0,0.838774,-0.00515519,0.00111178,0.838791
11.5573,-0.221333,0,1.45568,-0.00334231,-0.00832392,1.45571
11.5683,-0.220791,0,1.46491,0.0381036,-0.00896907,1.46544
11.5793,-0.220989,0,1.4869,0.0703959,-0.00699379,1.48858
11.5793,-0.369092,0,0.839464,-0.00502242,0.00096998,0.839479
10.74,0.0111111,0,1.7093,-0.301358,-0.267068,1.75609
10.7384,0.0037037,0,1.7083,-0.308504,-0.276563,1.75783
10.7378,-0.0037037,0,1.70338,-0.320043,-0.285051,1.75647
11.5903,-0.221649,0,1.51162,0.0862909,-0.00302967,1.51408
11.5903,-0.368868,0,0.840494,-0.00590787,0.000849548,0.840515
11.6013,-0.22241,0,1.53084,0.0915506,-0.000126201,1.53357
11.6013,-0.368624,0,0.841941,-0.0060955,0.000676528,0.841964
11.6123,-0.368363,0,0.843434,-0.00565162,0.000519149,0.843453
11.6233,-0.368079,0,0.844967,-0.00543984,0.000431341,0.844984
11.6233,-0.227512,0,1.57197,0.0858508,0.00568143,1.57432
11.6343,-0.228661,0,1.585,0.0697614,0.00682965,1.58655
11.6343,-0.36776,0,0.846818,-0.00560079,0.000403887,0.846837
11.6453,-0.229852,0,1.59139,0.0547924,0.00719411,1.59235
11.6453,-0.367404,0,0.849152,-0.00563702,0.000377906,0.849171
11.6563,-0.230016,0,1.59719,0.0392129,0.0100991,1.59771
11.6673,-0.230127,0,1.60139,0.0230946,0.0120745,1.6016
11.6783,-0.230001,0,1.60488,0.00601467,0.0138714,1.60495
11.6892,-0.229861,0,1.60431,-0.0114744,0.0156419,1.60442
11.6783,-0.36619,0,0.858457,-0.00612988,0.000199973,0.858479
11.6673,-0.366593,0,0.855025,-0.00575385,0.000199592,0.855044
11.6892,-0.365825,0,0.861672,-0.00583475,0.000210484,0.861692
11.6654,-0.366667,0,0.85445,-0.00572081,0.000203103,0.85447
11.7002,-0.229405,0,1.60161,-0.027209,0.017601,1.60194
11.7002,-0.365516,0,0.864345,-0.00551338,0.00017386,0.864363
11.7112,-0.228734,0,1.59438,-0.0417537,0.0187783,1.59503
11.7112,-0.365233,0,0.867035,-0.00580933,9.77657e-05,0.867055
11.2495,0.174276,0,1.4518,0.00972643,-0.0513313,1.45274
10.7307,-0.0298171,0,1.68965,-0.351175,-0.298298,1.75135
10.7316,-0.0259259,4.33681e-19,1.69312,-0.346432,-0.298479,1.75378
11.2999,0.16811,0,1.44371,0.0298553,-0.0801381,1.44624
11.3044,0.167415,4.33681e-19,1.44169,0.0297732,-0.0810908,1.44427
11.2988,0.168237,0,1.44409,0.0298076,-0.079961,1.44661
11.2935,0.16905,0,1.44648,0.0298239,-0.0788457,1.44893
11.2825,0.170214,0,1.44669,0.0279488,-0.0750363,1.4489
11.3374,0.162961,0,1.43753,0.0174667,-0.0592336,1.43885
11.3264,0.163875,0,1.43691,0.0226069,-0.0669031,1.43864
11.3484,0.162147,0,1.43713,0.00821068,-0.0487721,1.43798
11.3594,0.161487,0,1.4376,0.00146128,-0.0404012,1.43817
11.3704,0.161459,0,1.4448,-0.0114434,-0.0300333,1.44515
11.3814,0.160324,0,1.43912,-0.0225128,-0.020387,1.43944
11.7222,-0.228691,0,1.58283,-0.05491,0.0189951,1.5839
11.7222,-0.364968,0,0.869646,-0.00628311,7.56328e-06,0.869669
11.1911,-0.218519,4.33681e-19,1.19916,0.132084,-0.0585682,1.20784
11.1886,-0.217936,0,1.18894,0.107078,-0.0627582,1.1954
11.1879,-0.2178,0,1.18646,0.0992008,-0.0638947,1.19231
11.1835,-0.216782,0,1.16868,0.0575566,-0.0710651,1.17225
11.1564,-0.223388,0,1.2131,-0.200541,-0.0149533,1.22965
11.1615,-0.220838,0,1.18486,-0.171945,-0.0360967,1.19782
11.1657,-0.219545,0,1.16704,-0.135261,-0.0490667,1.17587
11.1657,-0.219579,0,1.16731,-0.13607,-0.0487297,1.17623
11.169,-0.218519,0,1.15325,-0.106758,-0.0599382,1.15973
11.1725,-0.217602,0,1.15143,-0.0685727,-0.0669202,1.15541
11.147,-0.230004,0,1.27805,-0.242497,0.0327667,1.30126
11.1435,-0.233333,0,1.30808,-0.251837,0.0550486,1.33324
11.2885,-0.261319,0,1.55466,0.137051,0.0763816,1.56256
11.289,-0.261478,0,1.55521,0.136777,0.0763296,1.56308
11.1339,-0.262963,0,1.52217,-0.146251,0.185117,1.54034
11.1343,-0.255556,0,1.48179,-0.186896,0.17034,1.50322
11.1361,-0.248148,0,1.43096,-0.222311,0.144541,1.45532
11.1343,-0.27037,0,1.55046,-0.0989328,0.188091,1.56496
11.1351,-0.277778,0,1.56832,-0.0508783,0.183213,1.57981
11.1419,-0.236311,0,1.33478,-0.248952,0.0753805,1.35989
11.1419,-0.236301,0,1.3347,-0.248889,0.0753336,1.35979
11.139,-0.240741,0,1.37262,-0.245908,0.103562,1.39832
11.1395,-0.239948,0,1.36611,-0.247589,0.0983591,1.39184
11.1365,-0.285185,0,1.57822,-0.00756611,0.176537,1.58808
11.3161,-0.27037,0,1.57105,0.118158,0.057752,1.57655
11.3154,-0.27008,0,1.57017,0.118796,0.0575134,1.57571
11.2983,-0.264781,0,1.56152,0.130051,0.0688178,1.56844
11.2978,-0.264632,0,1.5615,0.130437,0.0695988,1.56848
11.1421,-0.30413,0,1.58628,0.0809522,0.152583,1.59566
11.1431,-0.307407,0,1.5856,0.0924797,0.148238,1.5952
11.1395,-0.295511,-2.1684e-19,1.58492,0.043877,0.160789,1.59366
11.1384,-0.292593,0,1.58286,0.0294462,0.16417,1.59163
11.1446,-0.314815,0,1.58791,0.104738,0.139088,1.59742
11.3594,-0.275729,0,1.58317,0.0664315,0.0435381,1.58516
11.1467,-0.322222,0,1.60594,0.103202,0.119777,1.61371
11.3704,-0.275873,0,1.5842,0.05044,0.0434258,1.5856
11.3814,-0.275086,0,1.58441,0.0363213,0.0414826,1.58537
11.1561,-0.344444,0,1.57145,0.0675831,0.109803,1.57673
11.1526,-0.333724,0,1.60394,0.107983,0.120276,1.61206
11.1526,-0.333669,0,1.6043,0.107878,0.120134,1.6124
11.1501,-0.32963,0,1.61702,0.109876,0.116877,1.62495
11.1505,-0.330231,0,1.61552,0.110819,0.116874,1.62353
10.9746,0.147643,0,1.44223,-0.0581242,0.0258225,1.44364
10.9801,0.149072,0,1.44205,-0.0569116,0.0339488,1.44357
10.9694,0.146376,0,1.44257,-0.0599382,0.0159211,1.4439
