xp,yp,label,umag,ux
12.2101,-0.164869,0,0.0,0.0
12.1991,-0.161056,0,0.0,0.0
12.1989,-0.160975,0,0.0,0.0
12.1942,-0.159259,0,0.0,0.0
12.1936,-0.158995,0,0.0,0.0
12.1886,-0.157446,0,0.0,0.0
12.1883,-0.157372,0,0.0,0.0
12.1826,-0.155728,0,0.0,0.0
12.177,-0.154153,0,0.0,0.0
12.1758,-0.15387,0,0.0,0.0
12.1686,-0.151852,0,0.0,0.0
12.1716,-0.152692,0,0.0,0.0
12.1654,-0.151048,0,0.0,0.0
12.1651,-0.150945,0,0.0,0.0
12.1606,-0.149923,0,0.0,0.0
12.1496,-0.14784,0,0.0,0.0
12.1386,-0.145932,0,0.0,0.0
12.1345,-0.145187,0,0.0,0.0
12.1345,-0.145176,0,0.0,0.0
12.1309,-0.144444,0,0.0,0.0
12.1276,-0.143765,0,0.0,0.0
12.1228,-0.143047,0,0.0,0.0
12.1219,-0.142981,0,0.0,0.0
12.1166,-0.142222,0,0.0,0.0
12.1056,-0.141532,0,0.0,0.0
12.0946,-0.140837,0,0.0,0.0
12.0836,-0.140618,0,0.0,0.0
12.0726,-0.141051,0,0.0,0.0
12.0616,-0.141783,0,0.0,0.0
12.0562,-0.142734,0,0.0,0.0
12.0549,-0.142881,0,0.0,0.0
12.0506,-0.143616,0,0.0,0.0
12.0475,-0.144444,0,0.0,0.0
12.0444,-0.14525,0,0.0,0.0
12.0441,-0.145364,0,0.0,0.0
12.0396,-0.146406,0,0.0,0.0
12.0286,-0.148443,0,0.0,0.0
12.0229,-0.149925,0,0.0,0.0
12.022,-0.150104,0,0.0,0.0
12.0176,-0.151271,0,0.0,0.0
12.0159,-0.151852,0,0.0,0.0
12.0121,-0.153127,0,0.0,0.0
12.0117,-0.15329,0,0.0,0.0
12.0066,-0.154905,0,0.0,0.0
11.9956,-0.157071,0,0.0,0.0
11.9885,-0.159259,0,0.0,0.0
11.9846,-0.16063,0,0.0,0.0
11.9736,-0.163121,0,0.0,0.0
11.968,-0.164593,0,0.0,0.0
11.9669,-0.164811,0,0.0,0.0
11.9626,-0.165907,0,0.0,0.0
11.9604,-0.166667,0,0.0,0.0
11.957,-0.167746,0,0.0,0.0
11.9565,-0.167941,0,0.0,0.0
11.9516,-0.169331,0,0.0,0.0
11.9406,-0.171412,0,0.0,0.0
11.9358,-0.172838,0,0.0,0.0
11.9351,-0.173068,0,0.0,0.0
11.9319,-0.174074,0,0.0,0.0
11.9296,-0.174866,0,0.0,0.0
11.9256,-0.175847,0,0.0,0.0
11.9243,-0.176039,0,0.0,0.0
11.9186,-0.177498,0,0.0,0.0
11.9076,-0.178328,0,0.0,0.0
11.8966,-0.179095,0,0.0,0.0
11.8856,-0.179425,0,0.0,0.0
11.8746,-0.178983,0,0.0,0.0
11.8636,-0.178249,0,0.0,0.0
11.8526,-0.176372,0,0.0,0.0
11.8458,-0.174074,0,0.0,0.0
11.8416,-0.172511,0,0.0,0.0
11.8306,-0.170073,0,0.0,0.0
11.8254,-0.168298,0,0.0,0.0
11.8245,-0.167951,0,0.0,0.0
11.821,-0.166667,0,0.0,0.0
11.8196,-0.16601,0,0.0,0.0
11.8156,-0.164543,0,0.0,0.0
11.8143,-0.16418,0,0.0,0.0
11.8086,-0.162055,0,0.0,0.0
11.8025,-0.159259,0,0.0,0.0
11.7976,-0.157001,0,0.0,0.0
11.7866,-0.153708,0,0.0,0.0
11.7826,-0.151852,0,0.0,0.0
11.7756,-0.149189,0,0.0,0.0
11.7646,-0.14641,0,0.0,0.0
11.7593,-0.144444,0,0.0,0.0
11.7536,-0.142434,0,0.0,0.0
11.7426,-0.141235,0,0.0,0.0
11.7316,-0.139616,0,0.0,0.0
11.7206,-0.13906,0,0.0,0.0
11.7096,-0.13916,0,0.0,0.0
11.6986,-0.139918,0,0.0,0.0
11.6876,-0.141073,0,0.0,0.0
11.6766,-0.143459,0,0.0,0.0
11.6743,-0.144444,0,0.0,0.0
11.6656,-0.147419,0,0.0,0.0
11.6546,-0.150874,0,0.0,0.0
11.6532,-0.151852,0,0.0,0.0
11.6436,-0.156233,0,0.0,0.0
11.6365,-0.159259,0,0.0,0.0
11.6326,-0.161389,0,0.0,0.0
11.6265,-0.164302,0,0.0,0.0
11.6264,-0.164395,0,0.0,0.0
11.6218,-0.166667,0,0.0,0.0
11.6216,-0.166782,0,0.0,0.0
11.617,-0.169178,0,0.0,0.0
11.6168,-0.169281,0,0.0,0.0
11.6106,-0.172377,0,0.0,0.0
11.6077,-0.174074,0,0.0,0.0
11.5996,-0.178475,0,0.0,0.0
11.5941,-0.181481,0,0.0,0.0
11.5886,-0.184581,0,0.0,0.0
11.5836,-0.186847,0,0.0,0.0
11.5827,-0.187323,0,0.0,0.0
11.5794,-0.188889,0,0.0,0.0
11.5776,-0.189907,0,0.0,0.0
11.5737,-0.191451,0,0.0,0.0
11.5722,-0.191984,0,0.0,0.0
11.5666,-0.194194,0,0.0,0.0
11.5619,-0.196296,0,0.0,0.0
11.5556,-0.198991,0,0.0,0.0
11.5446,-0.202161,0,0.0,0.0
11.5391,-0.203704,0,0.0,0.0
11.5336,-0.205295,0,0.0,0.0
11.5226,-0.207122,0,0.0,0.0
11.5116,-0.207692,0,0.0,0.0
11.5006,-0.206948,0,0.0,0.0
11.4958,-0.205298,0,0.0,0.0
11.4955,-0.20513,0,0.0,0.0
11.4918,-0.203704,0,0.0,0.0
11.4896,-0.202757,0,0.0,0.0
11.4867,-0.200192,0,0.0,0.0
11.4862,-0.199816,0,0.0,0.0
11.4826,-0.196296,0,0.0,0.0
11.4786,-0.191502,0,0.0,0.0
11.4763,-0.188889,0,0.0,0.0
11.4739,-0.181481,0,0.0,0.0
11.4734,-0.174074,0,0.0,0.0
11.4734,-0.166667,0,0.0,0.0
11.4739,-0.159259,0,0.0,0.0
11.475,-0.151852,0,0.0,0.0
11.4768,-0.147858,0,0.0,0.0
11.4769,-0.147524,0,0.0,0.0
11.4783,-0.144444,0,0.0,0.0
11.4786,-0.144083,0,0.0,0.0
11.4802,-0.141169,0,0.0,0.0
11.4804,-0.14092,0,0.0,0.0
11.4824,-0.137037,0,0.0,0.0
