Point ID,Points_0,Points_1,Points_2,Points_Magnitude,Result,absOmega,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,vtkValidPointMask
56,13.1477,-0.132998,0,13.1483,0.133001,22.0817,0.5,0,13,-114.436,22.0817,0.250994,1.33159,-0.358653,0.213379,1.39545,0,1
57,13.1473,-0.133278,0,13.148,0.133281,21.7283,0.5,0,13,-112.081,21.7283,0.253451,1.33707,-0.358603,0.213849,1.40075,0,1
58,13.1506,-0.130156,0,13.1513,0.130171,27.9841,0.5,0,13,-176.496,27.9841,0.230207,1.27589,-0.359284,0.203811,1.34109,0,1
59,13.1515,-0.12963,0,13.1522,0.129645,29.5827,0.5,0,13,-207.787,29.5827,0.22992,1.26831,-0.343016,0.199289,1.3289,0,1
60,13.2333,-0.132773,0,13.234,0.132778,0.517299,0.5,0,12.8504,2.08052,0.517299,0.282099,1.4499,0.10129,0.120523,1.45842,0,1
61,13.2323,-0.132505,0,13.2329,0.13251,0.374026,0.5,0,12.8142,2.11254,0.247146,0.281371,1.44973,0.10256,0.119655,1.45828,0,1
62,13.2276,-0.131029,0,13.2283,0.131057,1.0815,0.5,0,12.6889,1.57679,-1.0815,0.278683,1.44962,0.106565,0.116373,1.45818,0,1
63,13.224,-0.12963,0,13.2246,0.129658,1.17324,0.5,0,12.8317,1.88815,-0.533165,0.27734,1.44396,0.112039,0.117062,1.45303,0,1
64,13.1438,-0.137037,0,13.1445,0.137087,14.1861,0.5,0,13,-35.1049,14.1861,0.278296,1.40638,-0.356969,0.229286,1.46898,0,1
65,13.1396,-0.141117,0,13.1404,0.141166,0.584186,0.5,0,13,41.4995,0.441047,0.283421,1.42707,-0.359476,0.225348,1.4888,0,1
66,13.1316,-0.155661,0,13.1325,0.155666,1.07943,0.5,0,13,24.5429,1.07943,0.310296,1.46608,-0.304405,0.195052,1.51,0,1
67,13.1313,-0.156477,0,13.1323,0.156482,1.16149,0.5,0,13,23.9835,1.16149,0.310431,1.46806,-0.30246,0.193971,1.51139,0,1
68,13.1298,-0.159259,0,13.1308,0.159286,2.51055,0.5,0,13,20.5535,0.562801,0.310817,1.47131,-0.298278,0.183241,1.51239,0,1
69,13.1286,-0.160578,0,13.1296,0.160604,2.38739,0.5,0,13,16.7327,0.439642,0.310586,1.4738,-0.300689,0.174039,1.51419,0,1
70,13.1337,-0.151852,0,13.1346,0.151897,1.92319,0.5,0,13,30.1081,1.92319,0.309469,1.46149,-0.311447,0.209993,1.50899,0,1
71,13.1361,-0.144444,0,13.1369,0.144492,0.501862,0.5,0,13,27.4155,-0.0471702,0.300223,1.4445,-0.341661,0.212592,1.4995,0,1
72,13.127,-0.162889,0,13.128,0.162894,2.21819,0.5,0,13,12.9869,2.21819,0.309464,1.48312,-0.294239,0.165701,1.52108,0,1
73,13.1266,-0.163326,0,13.1276,0.163331,2.47303,0.5,0,13,11.9192,2.47303,0.3092,1.4851,-0.293374,0.163679,1.52262,0,1
74,13.1244,-0.166667,0,13.1255,0.166708,4.79946,0.5,0,13,7.6072,4.79946,0.307318,1.49759,-0.284124,0.152656,1.53193,0,1
75,13.1232,-0.174074,0,13.1243,0.174113,7.37978,0.5,0,13,-8.79812,7.37978,0.302066,1.52641,-0.264529,0.149192,1.55633,0,1
76,13.1228,-0.181481,0,13.1241,0.181519,10.1847,0.5,0,13,-24.1377,10.1847,0.29539,1.56002,-0.242089,0.154882,1.58627,0,1
77,13.122,-0.188889,0,13.1233,0.188925,11.0445,0.5,0,12.8436,-22.9697,11.0445,0.290774,1.59889,-0.216201,0.156959,1.62106,0,1
78,13.1213,-0.196296,0,13.1228,0.196331,9.37396,0.5,0,13,-0.303192,9.37396,0.29087,1.63382,-0.179788,0.158443,1.6513,0,1
79,13.2552,-0.141644,0,13.256,0.141646,8.99458,0.5,0,13,-17.0737,8.99458,0.307876,1.44442,0.115707,0.103421,1.45273,0,1
80,13.2496,-0.139229,0,13.2504,0.139278,7.12872,0.5,0,13,-6.37147,7.12872,0.300356,1.44515,0.104191,0.116873,1.4536,0,1
81,13.2445,-0.137037,0,13.2452,0.137087,5.12951,0.5,0,13,-2.8462,5.12951,0.295103,1.44412,0.100624,0.121799,1.45274,0,1
82,13.1213,-0.203704,0,13.1229,0.203737,6.82936,0.5,0,13,20.2206,6.82936,0.295446,1.65125,-0.135421,0.163674,1.66486,0,1
83,13.1219,-0.211111,0,13.1236,0.211144,4.72681,0.5,0,13,27.1113,4.72681,0.303251,1.65279,-0.0911475,0.169983,1.66401,0,1
84,13.1225,-0.218519,0,13.1243,0.21855,3.90227,0.5,0,13,25.4163,3.90227,0.310968,1.64485,-0.0563492,0.171053,1.65468,0,1
85,13.2936,-0.154749,0,13.2945,0.154794,11.3961,0.5,0,13,-46.6321,11.3961,0.324742,1.49168,0.232751,0.00127245,1.50973,0,1
86,13.2883,-0.153418,0,13.2892,0.153418,12.1994,0.5,0,13,-49.0527,12.1994,0.324708,1.47931,0.214291,0.0135507,1.49481,0,1
87,13.3046,-0.156454,0,13.3055,0.156498,9.55217,0.5,0,13,-35.0866,9.55217,0.324438,1.51757,0.268148,-0.0248858,1.54128,0,1
88,13.211,0.167991,0,13.2121,0.167994,6.12481,0.5,0,13,-10.1355,6.12481,0.310287,1.55326,0.0160221,-0.000136833,1.55335,0,1
89,13.2166,0.168958,0,13.2177,0.168998,3.85833,0.5,0,13,4.47836,3.85833,0.31392,1.54347,0.026054,0.00600661,1.5437,0,1
90,13.2276,0.170039,0,13.2287,0.17008,1.36058,0.5,0,13,6.60966,-1.36058,0.322805,1.53052,0.0251092,0.0156293,1.53081,0,1
91,13.2386,0.170974,0,13.2397,0.171014,5.57474,0.5,0,13,-3.72291,-5.57474,0.334094,1.52269,0.000987647,0.0215182,1.52284,0,1
92,13.2496,0.1715,0,13.2507,0.17154,8.55536,0.5,0,13,-21.6491,-8.55536,0.339905,1.52065,-0.0417574,0.0284447,1.52148,0,1
93,12.9727,-0.0185185,0,12.9727,0.0188853,0.437143,0.5,0,12.821,2.01711,-0.437143,0.33828,1.78941,-0.258505,-0.232258,1.82284,0,1
94,12.9737,-0.0155422,5.42101e-20,12.9737,0.0155822,0.344131,0.5,0,12.9179,2.07947,-0.344131,0.338588,1.78839,-0.258079,-0.228752,1.82134,0,1
95,12.9712,-0.0259259,0,12.9713,0.0261891,0.934127,0.5,0,12.6914,2.10117,-0.934127,0.336916,1.7908,-0.260387,-0.241216,1.82564,0,1
96,12.9706,-0.0333333,0,12.9706,0.0335385,1.29483,0.5,0,12.6304,2.44732,-1.29483,0.331528,1.79056,-0.263461,-0.249953,1.82702,0,1
97,13.1231,-0.225926,0,13.1251,0.225956,4.65149,0.5,0,12.5007,20.1148,4.65149,0.318332,1.63154,-0.035504,0.155885,1.63935,0,1
98,13.3225,0.172775,0,13.3237,0.17278,14.9075,0.5,0,12.9437,-53.2646,-14.9075,0.346165,1.52115,0.0960578,0.0262183,1.52441,0,1
99,13.3266,0.173625,-4.33681e-19,13.3278,0.173649,20.7653,0.5,0,13,-101.38,-20.7653,0.356397,1.50479,0.076807,0.0320287,1.50709,0,1
100,13.3213,0.172569,0,13.3224,0.172574,13.4471,0.5,0,12.9437,-40.0053,-13.4471,0.343032,1.52528,0.102328,0.0242988,1.5289,0,1
101,13.3315,0.174074,0,13.3326,0.174093,22.0056,0.5,0,13,-110.706,-22.0056,0.360864,1.49819,0.0389406,0.0423693,1.4993,0,1
102,13.3156,0.171376,0,13.3167,0.171416,5.35333,0.5,0,12.8418,25.6562,-5.35333,0.328522,1.54904,0.128188,0.0162405,1.55442,0,1
103,13.3046,0.169675,0,13.3057,0.169715,16.9493,0.5,0,13,-27.0201,16.9493,0.278652,1.60932,0.115474,0.0100089,1.61349,0,1
104,13.2936,0.168688,0,13.2947,0.168729,29.9849,0.5,0,13,-278.281,29.9849,0.257683,1.64794,-0.046293,0.0303018,1.64887,0,1
105,13.2826,0.169452,0,13.2837,0.169493,12.278,0.5,0,13,0.720168,12.278,0.2927,1.59659,-0.154177,0.0506208,1.60481,0,1
106,13.2716,0.170553,0,13.2727,0.170594,1.19053,0.5,0,13,23.5044,-1.19053,0.325819,1.54896,-0.146612,0.049888,1.55668,0,1
107,13.2606,0.171341,0,13.2617,0.171381,7.19591,0.5,0,13,-13.7499,-7.19591,0.339726,1.52753,-0.0960212,0.0398437,1.53106,0,1
108,13.3443,0.173605,0,13.3454,0.173612,18.4959,0.5,0,13,-79.7273,-18.4959,0.362956,1.49582,-0.0544471,0.0672051,1.49832,0,1
109,13.3486,0.172997,0,13.3497,0.173036,15.5911,0.5,0,13,-53.8985,-15.5911,0.361165,1.4993,-0.0843366,0.0767406,1.50363,0,1
110,13.3596,0.170725,0,13.3607,0.170765,4.77658,0.5,0,13,21.5141,-4.77658,0.347129,1.52039,-0.144493,0.0952313,1.53021,0,1
111,13.3706,0.167747,0,13.3717,0.167788,7.24886,0.5,0,13,46.3126,7.24886,0.320542,1.56176,-0.195623,0.102754,1.57732,0,1
112,12.9702,-0.0407407,0,12.9703,0.0409087,1.95314,0.5,0,12.5969,1.97597,-1.95314,0.328998,1.78909,-0.268424,-0.258279,1.82746,0,1
113,12.9702,-0.0481481,0,12.9702,0.0482904,2.57617,0.5,0,12.5936,1.54966,-2.57617,0.325783,1.78586,-0.274393,-0.26518,1.82617,0,1
114,12.9703,-0.0555556,0,12.9705,0.0556789,3.21101,0.5,0,12.6107,1.15966,-3.21101,0.321983,1.78093,-0.282348,-0.271272,1.82346,0,1
115,13.1231,-0.233333,0,13.1252,0.233363,4.54741,0.5,0,12.5015,17.4734,4.54741,0.323437,1.62442,-0.0126758,0.145427,1.63096,0,1
116,13.3729,0.166667,0,13.3739,0.166708,11.9689,0.5,0,13,21.7641,11.9689,0.317452,1.57384,-0.195576,0.10159,1.5892,0,1
117,13.3816,0.163338,0,13.3826,0.16338,19.5178,0.5,0,13,-41.9032,19.5178,0.278877,1.64502,-0.17548,0.0897059,1.65679,0,1
118,13.3926,0.161497,0,13.3936,0.161539,31.8719,0.5,0,13,-269.753,31.8719,0.245167,1.72272,-0.0671654,0.0654817,1.72527,0,1
119,12.9706,-0.062963,0,12.9707,0.0630718,4.10845,0.5,0,12.6322,-0.580675,-4.10845,0.31756,1.77352,-0.293268,-0.275725,1.81862,0,1
120,12.9709,-0.0703704,0,12.9711,0.0704678,5.06692,0.5,0,12.6611,-2.35044,-5.06692,0.313458,1.7625,-0.306989,-0.277833,1.81048,0,1
121,12.9712,-0.0777778,0,12.9715,0.0778659,5.87291,0.5,0,12.6913,-3.60081,-5.87291,0.310329,1.74819,-0.323179,-0.278801,1.79954,0,1
122,13.1232,-0.240741,0,13.1254,0.240769,4.32831,0.5,0,12.5088,15.4541,4.32831,0.327032,1.61699,0.00822095,0.13647,1.62276,0,1
123,13.3327,-0.160495,0,13.3337,0.160498,1.34703,0.5,0,13,17.963,1.17301,0.315064,1.62744,0.34259,-0.0657531,1.66441,0,1
124,13.3321,-0.16045,0,13.333,0.160453,1.49315,0.5,0,13,16.4591,1.49315,0.315539,1.62416,0.341298,-0.0649134,1.6609,0,1
125,13.3266,-0.159765,0,13.3276,0.159778,3.80856,0.5,0,13,2.81637,3.80856,0.319863,1.59676,0.332008,-0.0610227,1.63205,0,1
126,13.3232,-0.159259,0,13.3241,0.159269,4.84632,0.5,0,13,-5.05416,4.84632,0.321076,1.58217,0.321861,-0.0582549,1.61563,0,1
127,13.3376,-0.161053,0,13.3386,0.161096,0.993693,0.5,0,13,29.8245,-0.993693,0.311522,1.65151,0.351558,-0.0697191,1.68995,0,1
128,13.3486,-0.162154,0,13.3496,0.162196,8.17826,0.5,0,13,43.5276,-8.17826,0.293646,1.71717,0.348463,-0.0804292,1.75402,0,1
129,13.4036,0.161208,0,13.4046,0.161251,29.4709,0.5,0,13,-209.608,29.4709,0.249156,1.72658,0.105184,0.0322106,1.73008,0,1
130,13.4146,0.162514,0,13.4156,0.162557,8.90488,0.5,0,13,28.1118,8.90488,0.286405,1.66783,0.200383,0.0146938,1.67989,0,1
131,13.4256,0.163992,0,13.4266,0.164034,6.18144,0.5,0,13,-29.9954,-6.18144,0.319666,1.63222,0.182912,0.0122273,1.64248,0,1
132,13.4312,0.165108,0,13.4322,0.165116,8.62386,0.5,0,13,-41.2817,-8.62386,0.325398,1.6222,0.160441,0.0154964,1.63019,0,1
133,13.4436,0.167178,0,13.4446,0.167186,5.0346,0.5,0,13,0.46552,-4.86641,0.321602,1.62181,0.11928,0.0403607,1.62669,0,1
134,13.4476,0.167997,0,13.4487,0.168038,2.20577,0.5,0,13,25.2919,-1.67665,0.318983,1.62415,0.106739,0.0516033,1.62847,0,1
135,13.4586,0.16951,0,13.4597,0.169551,3.31589,0.5,0,13,13.2442,2.86546,0.30526,1.61714,0.122501,0.103887,1.6251,0,1
136,13.4696,0.170958,0,13.4707,0.170998,1.61739,0.5,0,13,-20.194,1.61739,0.303534,1.58462,0.150242,0.152889,1.59905,0,1
137,13.4753,0.172574,0,13.4764,0.172575,0.560553,0.5,0,13,-29.4283,-0.477021,0.305951,1.56026,0.159971,0.173319,1.57799,0,1
138,13.4756,0.172656,0,13.4767,0.172657,0.568804,0.5,0,13,-30.3054,-0.568804,0.305949,1.55942,0.160308,0.174136,1.57728,0,1
139,13.1234,-0.248148,0,13.1258,0.248176,4.19279,0.5,0,12.5284,14.2905,4.19279,0.328751,1.60813,0.0268119,0.128803,1.61351,0,1
140,13.3596,-0.16346,0,13.3606,0.163502,22.2597,0.5,0,13,-99.5499,-22.2597,0.259543,1.7894,0.287673,-0.0947228,1.81485,0,1
141,13.4856,0.17522,0,13.4868,0.175222,4.17355,0.5,0,12.9566,-30.3874,-4.17355,0.308395,1.52969,0.175284,0.188231,1.55116,0,1
142,13.486,0.175251,0,13.4871,0.175253,4.25673,0.5,0,12.9627,-30.3977,-4.25673,0.308402,1.52877,0.175763,0.188404,1.55033,0,1
143,13.4806,0.174274,0,13.4818,0.174281,2.66671,0.5,0,12.973,-42.7812,-2.66671,0.30757,1.54018,0.169567,0.191479,1.56128,0,1
144,13.4801,0.174074,0,13.4813,0.17408,2.45377,0.5,0,13,-41.815,-2.45377,0.307608,1.54065,0.168366,0.19083,1.56153,0,1
145,13.4916,0.176203,0,13.4928,0.176242,5.91242,0.5,0,13,-19.6805,-5.91242,0.309293,1.51641,0.182189,0.186709,1.53869,0,1
146,13.5026,0.177272,0,13.5038,0.177311,7.71363,0.5,0,13,-23.2051,-7.71363,0.317566,1.48672,0.170543,0.177312,1.50694,0,1
147,12.9715,-0.0851852,0,12.9717,0.0852657,6.93458,0.5,0,12.9463,-5.46889,-6.93458,0.306023,1.72898,-0.344297,-0.278856,1.78484,0,1
148,13.1237,-0.255556,0,13.1262,0.255582,4.21401,0.5,0,12.5495,12.4223,4.21401,0.32919,1.59804,0.0422324,0.12143,1.6032,0,1
149,13.3679,-0.166667,0,13.3689,0.166708,41.8452,0.5,0,13,-581.629,-41.8452,0.206231,1.82642,0.148915,-0.104151,1.83544,0,1
150,13.3706,-0.168029,0,13.3717,0.16807,47.8878,0.5,0,13,-843.594,-47.8878,0.200708,1.80283,0.0864115,-0.0881701,1.80706,0,1
151,13.3776,-0.174074,0,13.3787,0.174113,44.9394,0.5,0,13,-727.551,-44.9394,0.201193,1.62759,-0.047353,-0.00982373,1.62831,0,1
152,13.5136,0.17772,0,13.5148,0.177758,7.88328,0.5,0,13,-19.3144,-7.88328,0.321173,1.46415,0.161142,0.1602,1.48168,0,1
153,12.9715,-0.0925926,0,12.9718,0.0926666,7.55264,0.5,0,12.9499,-6.83943,-7.55264,0.302046,1.71009,-0.363368,-0.276562,1.77001,0,1
154,12.9711,-0.1,0,12.9715,0.100069,7.60276,0.5,0,12.6833,-7.37411,-7.60276,0.297987,1.69296,-0.378196,-0.271185,1.75576,0,1
155,13.1238,-0.262963,0,13.1264,0.262989,4.08614,0.5,0,12.5591,11.1658,4.08614,0.32862,1.58645,0.0536076,0.114617,1.59149,0,1
156,13.3816,-0.178815,0,13.3828,0.178854,27.6371,0.5,0,13,-259.965,-27.6371,0.218839,1.50633,-0.131827,0.033857,1.51247,0,1
157,13.3906,-0.199618,0,13.3921,0.199621,13.8987,0.5,0,13,-9.36966,13.8987,0.336109,1.31574,-0.0251246,0.111582,1.3207,0,1
158,13.3886,-0.196296,0,13.39,0.196331,5.97974,0.5,0,13,26.6025,5.97974,0.326969,1.31909,-0.0431624,0.117953,1.32505,0,1
159,13.3869,-0.188889,0,13.3882,0.188925,6.40308,0.5,0,13,42.4835,-6.40308,0.299768,1.35916,-0.0765761,0.100667,1.36504,0,1
160,13.384,-0.181481,0,13.3853,0.181519,19.7068,0.5,0,13,-76.3712,-19.7068,0.253974,1.44245,-0.12133,0.0617204,1.44886,0,1
161,13.5246,0.1776,0,13.5258,0.177639,7.9155,0.5,0,13,-17.1929,-7.9155,0.321035,1.45022,0.151517,0.146689,1.46548,0,1
162,13.1237,-0.27037,0,13.1265,0.270396,3.90268,0.5,0,12.5522,9.67756,3.90268,0.327296,1.57412,0.0601308,0.109095,1.57904,0,1
163,13.4007,-0.215919,-4.33681e-19,13.4025,0.215924,23.2271,0.5,0,13,-88.0083,23.2271,0.384795,1.35015,0.0558087,0.097496,1.35481,0,1
164,13.4002,-0.214887,-4.33681e-19,13.402,0.214892,22.3662,0.5,0,13,-84.6671,22.3662,0.38278,1.34557,0.0530867,0.0978228,1.35017,0,1
165,13.4023,-0.218519,0,13.4041,0.218544,26.7024,0.5,0,13,-106.002,26.7024,0.389788,1.3595,0.0676731,0.0943401,1.36445,0,1
166,13.4036,-0.219479,0,13.4054,0.219504,27.4495,0.5,0,13,-109.673,27.4495,0.389849,1.3634,0.0771981,0.0920719,1.36868,0,1
167,13.3978,-0.211111,0,13.3994,0.211144,17.0751,0.5,0,13,-56.3913,17.0751,0.375833,1.33236,0.0343863,0.10301,1.33678,0,1
168,13.3956,-0.207286,0,13.3972,0.207288,18.97,0.5,0,13,-54.4998,18.97,0.363221,1.32282,0.0165925,0.10329,1.32695,0,1
169,13.4067,-0.22247,-4.33681e-19,13.4086,0.222475,25.2505,0.5,0,13,-99.3845,25.2505,0.396941,1.37593,0.0916803,0.0924531,1.38208,0,1
170,13.4059,-0.221737,-4.33681e-19,13.4077,0.221742,25.6764,0.5,0,13,-101.107,25.6764,0.395099,1.37318,0.0876068,0.0923295,1.37906,0,1
