xp,yp,label,umag,ux
11.6271,-0.225926,0,0.0,0.0
11.6169,-0.231465,0,0.0,0.0
11.6141,-0.233333,0,0.0,0.0
11.6039,-0.240741,0,0.0,0.0
11.6059,-0.239481,0,0.0,0.0
11.5949,-0.245184,0,0.0,0.0
11.5899,-0.248148,0,0.0,0.0
11.5839,-0.251575,0,0.0,0.0
11.5761,-0.255556,0,0.0,0.0
11.5729,-0.257461,0,0.0,0.0
11.5619,-0.261645,0,0.0,0.0
11.5597,-0.262963,0,0.0,0.0
11.5509,-0.266923,0,0.0,0.0
11.5429,-0.27037,0,0.0,0.0
11.5399,-0.272059,0,0.0,0.0
11.5289,-0.275137,0,0.0,0.0
11.5229,-0.277778,0,0.0,0.0
11.5179,-0.28014,0,0.0,0.0
11.5069,-0.282592,0,0.0,0.0
11.5001,-0.285185,0,0.0,0.0
11.4959,-0.287048,0,0.0,0.0
11.4849,-0.289228,0,0.0,0.0
11.4739,-0.291966,0,0.0,0.0
11.4722,-0.292593,0,0.0,0.0
11.4629,-0.295214,0,0.0,0.0
11.4519,-0.296608,0,0.0,0.0
11.4409,-0.298187,0,0.0,0.0
11.433,-0.3,0,0.0,0.0
11.4299,-0.30083,0,0.0,0.0
11.4189,-0.302454,0,0.0,0.0
11.4079,-0.303348,0,0.0,0.0
11.3969,-0.303902,0,0.0,0.0
11.3859,-0.304373,0,0.0,0.0
11.3749,-0.304776,0,0.0,0.0
11.3639,-0.305058,0,0.0,0.0
11.3529,-0.305189,0,0.0,0.0
11.3419,-0.305141,0,0.0,0.0
11.3309,-0.304916,0,0.0,0.0
11.3199,-0.304563,0,0.0,0.0
11.3088,-0.304133,0,0.0,0.0
11.2978,-0.303683,0,0.0,0.0
11.2868,-0.303084,0,0.0,0.0
11.2758,-0.302098,0,0.0,0.0
11.2648,-0.300293,0,0.0,0.0
11.2637,-0.3,0,0.0,0.0
11.2538,-0.297998,0,0.0,0.0
11.2428,-0.296649,0,0.0,0.0
11.2318,-0.295559,0,0.0,0.0
11.2208,-0.293576,0,0.0,0.0
11.2179,-0.292593,0,0.0,0.0
